field,records_with_value,coverage_pct
home_cards,5155,68.098
away_cards,5155,68.098
home_corners,5155,68.098
away_corners,5155,68.098
home_xg,0,0.0
away_xg,0,0.0
odds_1,4760,62.88
odds_x,4760,62.88
odds_2,4760,62.88
referee,3931,51.929
