date,hk,ak,rows,sources
2020-10-17,mancity,arsenal,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-17,newcastle,manunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-18,crystalpalace,brighton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-18,leicester,astonvilla,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-18,sheffieldunited,fulham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-18,tottenham,westham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-19,leeds,wolves,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-19,westbrom,burnley,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-23,astonvilla,leeds,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-24,fulham,crystalpalace,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-24,liverpool,sheffieldunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-24,manunited,chelsea,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-24,westham,mancity,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-25,arsenal,leicester,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-25,southampton,everton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-25,wolves,newcastle,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-26,brighton,westbrom,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-26,burnley,tottenham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-30,wolves,crystalpalace,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-31,burnley,chelsea,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-31,liverpool,westham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-10-31,sheffieldunited,mancity,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-01,astonvilla,southampton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-01,manunited,arsenal,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-01,newcastle,everton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-01,tottenham,brighton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-02,fulham,westbrom,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-02,leeds,leicester,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-06,brighton,burnley,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-06,southampton,newcastle,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-07,chelsea,sheffieldunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-07,crystalpalace,leeds,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-07,everton,manunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-07,westham,fulham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-08,arsenal,astonvilla,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-08,leicester,wolves,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-08,mancity,liverpool,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-08,westbrom,tottenham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-21,astonvilla,brighton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-21,manunited,westbrom,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-11-21,newcastle,chelsea,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
