player_id,canonical_name,nationality,position,height_m,weight_kg,date_of_birth,birth_place,team,season,competition,squad_number,previous_club,source,source_url,temporal_class,pit_status,retrieved_at
FCSVBR24-17e97cb14619343f,David Luiz,BRA,D,1.89,84,22-04-87,São Paulo,Flamengo,2024,Campeonato Brasileiro Série A,3,Arsenal,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060515+00:00
FCSVBR24-88e8e0bb6f900d89,Matheus Cunha,BRA,G,1.81,79,24-05-01,Tupi Paulista,Flamengo,2024,Campeonato Brasileiro Série A,5,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060519+00:00
FCSVBR24-85839cbf2394c2ad,Bruno Henrique,BRA,F,1.84,71,30-12-90,Belo Horizone,Flamengo,2024,Campeonato Brasileiro Série A,7,Santos,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060523+00:00
FCSVBR24-2266fad123504148,Victor Hugo,BRA,M,1.82,81,11-05-04,Rio de Janeiro,Flamengo,2024,Campeonato Brasileiro Série A,9,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060527+00:00
FCSVBR24-ff74a04731b6ee52,Cleiton,BRA,D,1.88,61,25-04-03,Bahia,Flamengo,2024,Campeonato Brasileiro Série A,3,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060531+00:00
FCSVBR24-4b246c8540255d6f,Wesley,BRA,D,1.78,73,06-09-03,Maranhão,Flamengo,2024,Campeonato Brasileiro Série A,3,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060535+00:00
FCSVBR24-718ad4d9cdf752b3,Igor Jesus,BRA,M,1.79,76,07-03-03,Goiânia,Flamengo,2024,Campeonato Brasileiro Série A,8,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060539+00:00
FCSVBR24-98b6fd55641b10cc,Dyogo Alves,BRA,G,,,09-01-04,,Flamengo,2024,Campeonato Brasileiro Série A,9,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060544+00:00
FCSVBR24-73e53b8a1f87750a,Evertton Araújo,BRA,M,,,28-02-03,,Flamengo,2024,Campeonato Brasileiro Série A,2,Volta Redonda,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060549+00:00
FCSVBR24-cec32129be1f109a,Marcos Rocha,BRA,D,1.76,68,11-12-88,Sete Lagoas,Palmeiras,2024,Campeonato Brasileiro Série A,2,Atlético Mineiro,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060854+00:00
FCSVBR24-aa5cc5463a6ee4dd,Aníbal Moreno,ARG,M,1.77,72,13-05-99,San Fernando del Valle,Palmeiras,2024,Campeonato Brasileiro Série A,5,Racing Club,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060865+00:00
FCSVBR24-2aab06d04e1dfcc2,Vanderlan,BRA,D,1.83,74,07-09-02,Brumado,Palmeiras,2024,Campeonato Brasileiro Série A,6,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060870+00:00
FCSVBR24-61b2bd94e3017312,Dudu,BRA,F,1.65,69,07-01-92,Goiânia,Palmeiras,2024,Campeonato Brasileiro Série A,7,Dynamo Kyiv,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060874+00:00
FCSVBR24-7f13314aba7d66e3,Zé Rafael,BRA,M,1.75,71,16-06-93,Ponta Grossa,Palmeiras,2024,Campeonato Brasileiro Série A,8,Bahia,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060879+00:00
FCSVBR24-af347b6f6e831c35,Endrick,BRA,F,1.73,80,21-07-06,Brasília,Palmeiras,2024,Campeonato Brasileiro Série A,9,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060883+00:00
FCSVBR24-6e8b06b4f968b649,Rony,BRA,F,1.70,65,11-05-95,Magalhães Barata,Palmeiras,2024,Campeonato Brasileiro Série A,0,Athletico Paranaense,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060888+00:00
FCSVBR24-1c94565a0cfc0d0c,Bruno Rodrigues,BRA,F,1.77,73,07-03-97,Ceará-Mirim,Palmeiras,2024,Campeonato Brasileiro Série A,1,Tombense,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060892+00:00
FCSVBR24-c382596339d21530,Mayke,BRA,D,1.78,68,10-11-92,Carangola,Palmeiras,2024,Campeonato Brasileiro Série A,2,Cruzeiro,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060896+00:00
FCSVBR24-ae09d7fb5bf5cc72,Luan,BRA,D,1.83,79,10-05-93,Vitória,Palmeiras,2024,Campeonato Brasileiro Série A,3,Vasco da Gama,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060900+00:00
FCSVBR24-8e454b95b18748f7,Marcelo Lomba,BRA,G,1.87,80,18-12-86,Rio de Janeiro,Palmeiras,2024,Campeonato Brasileiro Série A,4,Internacional,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060905+00:00
FCSVBR24-a3f246ff0228b1d7,Gustavo Gómez,PAR,D,1.86,85,06-06-93,Misiones,Palmeiras,2024,Campeonato Brasileiro Série A,5,Milan,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060910+00:00
FCSVBR24-4a128742ca90c8d0,Caio Paulista,BRA,D,1.84,78,11-05-98,São Paulo,Palmeiras,2024,Campeonato Brasileiro Série A,6,Fluminense,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060914+00:00
FCSVBR24-fe3e580a6a4502cc,Lázaro,BRA,M,1.81,72,12-03-02,Belo Horizonte,Palmeiras,2024,Campeonato Brasileiro Série A,7,Almería,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060919+00:00
FCSVBR24-533107961508b40d,Rômulo,BRA,M,1.77,70,07-10-01,Pirassununga,Palmeiras,2024,Campeonato Brasileiro Série A,0,Novorizontino,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060923+00:00
FCSVBR24-e891fc15852f5190,Weverton,BRA,G,1.89,85,13-12-87,Rio Branco,Palmeiras,2024,Campeonato Brasileiro Série A,1,Atlético Paranaense,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060927+00:00
FCSVBR24-3b73cf0f3e3fe34d,Joaquín Piquerez,URU,D,1.83,75,24-08-98,Montevideo,Palmeiras,2024,Campeonato Brasileiro Série A,2,Peñarol,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060932+00:00
FCSVBR24-fb3f1b27468f36ef,Raphael Veiga,BRA,M,1.76,73,19-06-95,São Paulo,Palmeiras,2024,Campeonato Brasileiro Série A,3,Coritiba,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060936+00:00
FCSVBR24-3c106e4fe3deb5c0,Mateus Oliveira,BRA,G,1.99,89,02-05-02,Cajazeiras,Palmeiras,2024,Campeonato Brasileiro Série A,4,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060940+00:00
FCSVBR24-ddf5698f0ed06c0f,Gabriel Menino,BRA,M,1.76,78,29-09-00,Morungaba,Palmeiras,2024,Campeonato Brasileiro Série A,5,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060943+00:00
FCSVBR24-4b258c82c612d72b,Murilo Cerqueira,BRA,D,1.87,84,27-03-97,São Gonçalo dos Campos,Palmeiras,2024,Campeonato Brasileiro Série A,6,Lokomotiv Moscow,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060948+00:00
FCSVBR24-09259445b10b82ae,Richard Rios,COL,M,1.85,77,02-06-00,Vegachí,Palmeiras,2024,Campeonato Brasileiro Série A,7,Guarani,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060953+00:00
FCSVBR24-030d6c40328be587,Luis Guilherme,BRA,M,1.75,65,09-02-06,Aracaju,Palmeiras,2024,Campeonato Brasileiro Série A,1,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060957+00:00
FCSVBR24-cb4983b2ef27254e,Gustavo Garcia,BRA,D,1.75,68,04-01-02,São Paulo,Palmeiras,2024,Campeonato Brasileiro Série A,2,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060961+00:00
FCSVBR24-2d505ebf36e37238,Kaiky Naves,BRA,D,1.80,78,08-05-02,Santos,Palmeiras,2024,Campeonato Brasileiro Série A,4,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060964+00:00
FCSVBR24-0cf08ce89eaf4e79,Fabinho,BRA,M,1.78,75,09-04-02,Natal,Palmeiras,2024,Campeonato Brasileiro Série A,5,,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060969+00:00
FCSVBR24-c13a50acaa99b3fa,Jhon Jhon,BRA,M,1.77,73,09-09-02,Vitória,Palmeiras,2024,Campeonato Brasileiro Série A,0,Primavera,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060973+00:00
FCSVBR24-6b2e2caa849bd891,Estêvão,BRA,F,1.76,62,24-04-07,Franca,Palmeiras,2024,Campeonato Brasileiro Série A,1,Cruzeiro,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060978+00:00
FCSVBR24-b11177eddcc80651,José Manuel López,ARG,F,1.90,74,06-12-00,San Lorenzo,Palmeiras,2024,Campeonato Brasileiro Série A,2,Lanús,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060982+00:00
FCSVBR24-588f1940b2cda68c,Kaique,BRA,G,1.90,87,16-04-03,São Paulo,Palmeiras,2024,Campeonato Brasileiro Série A,1,None == Past Players Number,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060987+00:00
FCSVBR24-00016571417b344f,Breno Lopes,BRA,F,1.78,71,24-01-96,Belo Horizonte,Palmeiras,2024,Campeonato Brasileiro Série A,9,Fortaleza (On Loan),footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060991+00:00
