player_id,team_name,season,competition,previous_club,source,retrieved_at
FCSVBR24-ae09d7fb5bf5cc72,Palmeiras,2024,Campeonato Brasileiro Série A,Vasco da Gama,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060900+00:00
FCSVBR24-8e454b95b18748f7,Palmeiras,2024,Campeonato Brasileiro Série A,Internacional,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060905+00:00
FCSVBR24-a3f246ff0228b1d7,Palmeiras,2024,Campeonato Brasileiro Série A,Milan,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060910+00:00
FCSVBR24-4a128742ca90c8d0,Palmeiras,2024,Campeonato Brasileiro Série A,Fluminense,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060914+00:00
FCSVBR24-fe3e580a6a4502cc,Palmeiras,2024,Campeonato Brasileiro Série A,Almería,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060919+00:00
FCSVBR24-533107961508b40d,Palmeiras,2024,Campeonato Brasileiro Série A,Novorizontino,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060923+00:00
FCSVBR24-e891fc15852f5190,Palmeiras,2024,Campeonato Brasileiro Série A,Atlético Paranaense,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060927+00:00
FCSVBR24-3b73cf0f3e3fe34d,Palmeiras,2024,Campeonato Brasileiro Série A,Peñarol,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060932+00:00
FCSVBR24-fb3f1b27468f36ef,Palmeiras,2024,Campeonato Brasileiro Série A,Coritiba,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060936+00:00
FCSVBR24-3c106e4fe3deb5c0,Palmeiras,2024,Campeonato Brasileiro Série A,,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060940+00:00
FCSVBR24-ddf5698f0ed06c0f,Palmeiras,2024,Campeonato Brasileiro Série A,,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060943+00:00
FCSVBR24-4b258c82c612d72b,Palmeiras,2024,Campeonato Brasileiro Série A,Lokomotiv Moscow,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060948+00:00
FCSVBR24-09259445b10b82ae,Palmeiras,2024,Campeonato Brasileiro Série A,Guarani,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060953+00:00
FCSVBR24-030d6c40328be587,Palmeiras,2024,Campeonato Brasileiro Série A,,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060957+00:00
FCSVBR24-cb4983b2ef27254e,Palmeiras,2024,Campeonato Brasileiro Série A,,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060961+00:00
FCSVBR24-2d505ebf36e37238,Palmeiras,2024,Campeonato Brasileiro Série A,,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060964+00:00
FCSVBR24-0cf08ce89eaf4e79,Palmeiras,2024,Campeonato Brasileiro Série A,,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060969+00:00
FCSVBR24-c13a50acaa99b3fa,Palmeiras,2024,Campeonato Brasileiro Série A,Primavera,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060973+00:00
FCSVBR24-6b2e2caa849bd891,Palmeiras,2024,Campeonato Brasileiro Série A,Cruzeiro,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060978+00:00
FCSVBR24-b11177eddcc80651,Palmeiras,2024,Campeonato Brasileiro Série A,Lanús,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060982+00:00
FCSVBR24-588f1940b2cda68c,Palmeiras,2024,Campeonato Brasileiro Série A,None == Past Players Number,footballcsv/cache.footballsquads,2026-08-20T18:38:41.060987+00:00
FCSVBR24-00016571417b344f,Palmeiras,2024,Campeonato Brasileiro Série A,Fortaleza (On Loan),footballcsv/cache.footballsquads,2026-08-20T18:38:41.060991+00:00
