player_id,canonical_name,team,nationality,date_of_birth,source,resolution_status,confidence
FCSVBR24-8e454b95b18748f7,Marcelo Lomba,Palmeiras,BRA,18-12-86,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-a3f246ff0228b1d7,Gustavo Gómez,Palmeiras,PAR,06-06-93,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-4a128742ca90c8d0,Caio Paulista,Palmeiras,BRA,11-05-98,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-fe3e580a6a4502cc,Lázaro,Palmeiras,BRA,12-03-02,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-533107961508b40d,Rômulo,Palmeiras,BRA,07-10-01,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-e891fc15852f5190,Weverton,Palmeiras,BRA,13-12-87,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-3b73cf0f3e3fe34d,Joaquín Piquerez,Palmeiras,URU,24-08-98,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-fb3f1b27468f36ef,Raphael Veiga,Palmeiras,BRA,19-06-95,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-3c106e4fe3deb5c0,Mateus Oliveira,Palmeiras,BRA,02-05-02,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-ddf5698f0ed06c0f,Gabriel Menino,Palmeiras,BRA,29-09-00,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-4b258c82c612d72b,Murilo Cerqueira,Palmeiras,BRA,27-03-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-09259445b10b82ae,Richard Rios,Palmeiras,COL,02-06-00,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-030d6c40328be587,Luis Guilherme,Palmeiras,BRA,09-02-06,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-cb4983b2ef27254e,Gustavo Garcia,Palmeiras,BRA,04-01-02,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-2d505ebf36e37238,Kaiky Naves,Palmeiras,BRA,08-05-02,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-0cf08ce89eaf4e79,Fabinho,Palmeiras,BRA,09-04-02,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-c13a50acaa99b3fa,Jhon Jhon,Palmeiras,BRA,09-09-02,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-6b2e2caa849bd891,Estêvão,Palmeiras,BRA,24-04-07,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-b11177eddcc80651,José Manuel López,Palmeiras,ARG,06-12-00,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-588f1940b2cda68c,Kaique,Palmeiras,BRA,16-04-03,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-00016571417b344f,Breno Lopes,Palmeiras,BRA,24-01-96,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
