competition,season,stage,round,leg,home_team,away_team,kickoff_local,venue,country,first_leg,aggregate,home_needs,away_needs,source_url,odds_source_url,odds_recorded_date,odds_recorded_time,odds_timezone,odds_bookmaker,home_odds,draw_odds,away_odds,odds_pit_status,altitude_m,aggregate_pressure,known_absence_status,home_implied,draw_implied,away_implied,home_market_fair_prob,home_vig_component,draw_market_fair_prob,draw_vig_component,away_market_fair_prob,away_vig_component,market_pit_eligible,value_gate,value_reason,model_status,edge_status,min_prior_support
CONMEBOL Libertadores,2026,Round of 16,Second leg,2,LDU Quito,Mirassol,2026-08-20 19:00 -03,Estadio Rodrigo Paz Delgado,Ecuador,1-1,1-1,WIN,WIN,https://www.uol.com.br/esporte/ultimas-noticias/2026/08/20/ldu-x-mirassol-horario-e-onde-assistir-ao-jogo-da-libertadores.ghtm,https://theplayoffs.news/noticias/futebol-palpites/ldu-quito-x-mirassol-palpites-e-odds-copa-libertadores-20-08-2026/,2026-08-18,19:23,UNKNOWN,KTO,1.66,3.6,5.3,DATE_LEVEL_PIT,,HIGH,NOT_MATERIALIZED,0.6024096385542169,0.2777777777777778,0.18867924528301888,0.5635966207833639,0.038813017770853,0.25988066402788446,0.017897113749893334,0.1765227151887517,0.012156530094267176,False,NO_BET,INSUFFICIENT_HISTORICAL_TEAM_SUPPORT,INSUFFICIENT_DATA,EDGE_NOT_DETERMINED,0.0
CONMEBOL Libertadores,2026,Round of 16,Second leg,2,Corinthians,Rosario Central,2026-08-20 21:30 -03,Neo Química Arena,Brazil,0-0,0-0,WIN_OR_DRAW,WIN,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2026/08/20/procura-se-volantes-corinthians-vive-drama-em-setor-que-ja-foi-solucao.ghtm,https://theplayoffs.news/noticias/futebol-palpites/corinthians-x-rosario-central-palpites-e-odds-copa-libertadores-20-08-2026/,2026-08-18,21:33,UNKNOWN,KTO,1.9,3.0,4.75,DATE_LEVEL_PIT,,HIGH,WEB_SOURCED_PREMATCH,0.5263157894736842,0.3333333333333333,0.21052631578947367,0.4918032786885246,0.0345125107851596,0.31147540983606553,0.021857923497267784,0.19672131147540983,0.01380500431406384,False,NO_BET,INSUFFICIENT_HISTORICAL_TEAM_SUPPORT,INSUFFICIENT_DATA,EDGE_NOT_DETERMINED,0.0
CONMEBOL Sudamericana,2026,Round of 16,Second leg,2,Olimpia,Vasco da Gama,2026-08-20 19:00 -03,Defensores del Chaco,Paraguay,0-0,0-0,WIN,WIN_OR_DRAW,https://www.365scores.com/football/match/conmebol-sudamericana-389/olimpia-vasco-da-gama-1227-8548-389,https://theplayoffs.news/noticias/futebol-palpites/olimpia-x-vasco-palpites-e-odds-copa-sudamericana-20-08-2026/,2026-08-18,19:31,UNKNOWN,KTO,2.28,3.15,3.2,DATE_LEVEL_PIT,,HIGH,NOT_MATERIALIZED,0.4385964912280702,0.31746031746031744,0.3125,0.41045687759589544,0.028139613632174765,0.29709259711702907,0.020367720343288376,0.2924505252870755,0.02004947471292451,False,NO_BET,INSUFFICIENT_HISTORICAL_TEAM_SUPPORT,INSUFFICIENT_DATA,EDGE_NOT_DETERMINED,0.0
CONMEBOL Sudamericana,2026,Round of 16,Second leg,2,Macará,Santos,2026-08-20 19:00 -03,Estadio Bellavista,Ecuador,1-2,1-2 Santos,WIN_BY_2_FOR_DIRECT_QUALIFICATION,DRAW_OR_WIN,https://www.uol.com.br/esporte/ultimas-noticias/2026/08/20/deportivo-macara-x-santos-horario-e-onde-assistir-ao-jogo-da-sul-americana.ghtm,https://theplayoffs.news/noticias/futebol-palpites/macara-x-santos-palpites-e-odds-copa-sul-americana-20-08-2026/,2026-08-18,19:33,UNKNOWN,KTO,2.75,3.2,2.5,DATE_LEVEL_PIT,2500.0,HIGH,WEB_SOURCED_PREMATCH,0.36363636363636365,0.3125,0.4,0.337909186906019,0.025727176730344636,0.29039070749736007,0.022109292502639932,0.3717001055966209,0.0282998944033791,False,NO_BET,INSUFFICIENT_HISTORICAL_TEAM_SUPPORT,INSUFFICIENT_DATA,EDGE_NOT_DETERMINED,0.0
CONMEBOL Sudamericana,2026,Round of 16,Second leg,2,Botafogo,Cienciano,2026-08-20 21:30 -03,Estádio Nilton Santos,Brazil,1-6,1-6 Cienciano,WIN_BY_6_FOR_DIRECT_QUALIFICATION,LOSE_BY_4_OR_LESS_TO_ADVANCE,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2026/08/20/botafogo-x-cienciano-horario-e-onde-assistir-ao-jogo-da-sul-americana.ghtm,https://theplayoffs.news/noticias/futebol-palpites/botafogo-x-cienciano-palpites-e-odds-copa-sul-americana-20-08-2026/,2026-08-18,22:52,UNKNOWN,KTO,1.1,9.5,19.0,DATE_LEVEL_PIT,,EXTREME,WEB_SOURCED_PREMATCH,0.9090909090909091,0.10526315789473684,0.05263157894736842,0.852017937219731,0.0570729718711781,0.09865470852017938,0.006608449374557457,0.04932735426008969,0.0033042246872787284,False,NO_BET,INSUFFICIENT_HISTORICAL_TEAM_SUPPORT,INSUFFICIENT_DATA,EDGE_NOT_DETERMINED,0.0
