configuration,accuracy,log_loss,brier,ece,roc_auc,scientific_status
MARKET_ONLY,0.61,0.646162,0.228408,0.029541,0.648129,RESEARCH_OOS_NON_PIT
ROBO_BASELINE_LOGISTIC,0.598,0.651768,0.230564,0.024103,0.6389497,RESEARCH_OOS_NON_PIT
ROBO_MARKET_FEATURES,0.606,0.646787,0.22851,0.045138,0.651162,RESEARCH_OOS_NON_PIT
ROBO_FULL,0.608,0.64841,0.229062,0.035835,0.651389,RESEARCH_OOS_NON_PIT
