probability,odds,fair_odds,raw_ev,realistic_ev,uncertainty_adjusted_ev,scientific_status,model,outcome,positive_ev,theoretical_status
0.2160033035799371,4.33,4.629558823529412,-0.06470569549887228,-0.06470569549887228,-0.06470569549887228,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.4605263157894737,2.05,2.1714285714285713,-0.05592105263157904,-0.05592105263157904,-0.05592105263157904,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.3226605050338339,2.88,3.0992327365728904,-0.07073774550255829,-0.07073774550255829,-0.07073774550255829,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.41212601545472566,2.3,2.4264423076923074,-0.05211016445413097,-0.05211016445413097,-0.05211016445413097,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.5181373722178536,1.8,1.9299901022764765,-0.06735273000786346,-0.06735273000786346,-0.06735273000786346,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.33289942187679467,2.88,3.0039102932719954,-0.0412496649948314,-0.0412496649948314,-0.0412496649948314,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.8250825082508252,1.14,1.2119999999999997,-0.05940594059405936,-0.05940594059405936,-0.05940594059405936,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.17850621297822117,5.25,5.602045908183633,-0.06284238186433888,-0.06284238186433888,-0.06284238186433888,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.5380694230924833,1.73,1.8584962406015035,-0.06913989805000392,-0.06913989805000392,-0.06913989805000392,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.324566546611944,2.88,3.0810322580645164,-0.06524834575760119,-0.06524834575760119,-0.06524834575760119,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.1995079572537864,4.75,5.01233140655106,-0.052337203044514724,-0.052337203044514724,-0.052337203044514724,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.4034582132564842,2.3,2.478571428571428,-0.0720461095100865,-0.0720461095100865,-0.0720461095100865,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.4049281314168378,2.3,2.469574036511156,-0.06866529774127306,-0.06866529774127306,-0.06866529774127306,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.25392083644510827,3.7,3.9382352941176473,-0.06049290515309946,-0.06049290515309946,-0.06049290515309946,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.3701111568546727,2.55,2.7018909899888763,-0.05621655002058468,-0.05621655002058468,-0.05621655002058468,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.4111855061047657,2.3,2.431992337164751,-0.05427333595903905,-0.05427333595903905,-0.05427333595903905,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.4219886822958771,2.2,2.3697318007662838,-0.0716248989490702,-0.0716248989490702,-0.0716248989490702,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.4436536180308422,2.1,2.254010695187166,-0.06832740213523142,-0.06832740213523142,-0.06832740213523142,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.15655853314527504,6.0,6.387387387387387,-0.060648801128349805,-0.060648801128349805,-0.060648801128349805,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.15336592261028328,6.25,6.520353302611367,-0.04146298368572954,-0.04146298368572954,-0.04146298368572954,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.5256916996047432,1.8,1.902255639097744,-0.05375494071146231,-0.05375494071146231,-0.05375494071146231,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.3711340206185567,2.55,2.694444444444444,-0.053608247422680444,-0.053608247422680444,-0.053608247422680444,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.6658656253129068,1.42,1.5018045112781955,-0.054470812055672335,-0.054470812055672335,-0.054470812055672335,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.18950534759358292,5.0,5.276895943562609,-0.052473262032085355,-0.052473262032085355,-0.052473262032085355,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.4471544715447154,2.1,2.2363636363636368,-0.060975609756097726,-0.060975609756097726,-0.060975609756097726,RESEARCH_ONLY_NON_PIT,market_only,1,False,COUNTERFACTUAL_NON_PIT
0.21158844213423023,4.5,4.726156069364162,-0.047852010395963984,-0.047852010395963984,-0.047852010395963984,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
0.12462908011869436,7.5,8.023809523809524,-0.06528189910979232,-0.06528189910979232,-0.06528189910979232,RESEARCH_ONLY_NON_PIT,market_only,0,False,COUNTERFACTUAL_NON_PIT
