feature_set,accuracy,log_loss,brier,ece,roc_auc,comparison_sample_events
BASELINE,0.598,0.6517676020351473,0.2305637008386599,0.0241026766208186,0.6389497072609027,2951
MARKET,0.606,0.6467870052732695,0.2285096395093849,0.0451380272601822,0.6511620363612773,2951
SHOTS_SOT,0.582,0.6559605189506442,0.2326767230572144,0.0392208417098376,0.6296080053195803,2951
CORNERS,0.602,0.65144079320735,0.2304414934698384,0.0451992081868638,0.6425825913491947,2951
CARDS,0.614,0.649255825636641,0.2293460206515807,0.0239068388888592,0.6470101688318007,2951
MOMENTUM,0.6,0.6529458779484404,0.2312132020025716,0.0349793485208272,0.6357871519161842,2951
MARKET_INTELLIGENCE,0.606,0.6467870052732695,0.2285096395093849,0.0451380272601822,0.6511620363612773,2951
FULL,0.608,0.6484103945575382,0.2290623484952929,0.0358351309957252,0.6513890916167956,2951
