stake_u,bets,units,roi,max_drawdown_u,status,target
0.25,4760,-36.602500000000006,-0.030758403361344545,46.934999999999995,THEORETICAL_NON_PIT,home_win
0.5,4760,-73.20500000000001,-0.030758403361344545,93.86999999999999,THEORETICAL_NON_PIT,home_win
1.0,4760,-146.41000000000003,-0.030758403361344545,187.73999999999998,THEORETICAL_NON_PIT,home_win
1.5,4760,-219.61499999999998,-0.030758403361344534,281.61000000000024,THEORETICAL_NON_PIT,home_win
2.0,4760,-292.82000000000005,-0.030758403361344545,375.47999999999996,THEORETICAL_NON_PIT,home_win
