target,model,calibration,fold,train_events,validation_events,test_events,accuracy,log_loss,brier,ece,mce,roc_auc,feature_set,model_feature_set,status,comparison_sample_events
home_win,logistic,raw,0,1500.0,300.0,500,0.608,0.6484103945575382,0.2290623484952929,0.03583513099572529,0.07347179703300244,0.6513890916167956,FULL,,,
home_win,logistic,platt,0,1500.0,300.0,500,0.606,0.6501536331969023,0.2296515471475246,0.05087434402700459,0.19903217481387037,0.6513890916167956,FULL,,,
home_win,logistic,isotonic,0,1500.0,300.0,500,0.606,0.6917467628874852,0.2312299589565946,0.04190676239752391,0.21336126921260434,0.6561329246338734,FULL,,,
home_win,logistic,raw_standalone,0,1500.0,300.0,500,0.608,0.6484103945575382,0.2290623484952929,0.03583513099572529,0.07347179703300244,0.6513890916167956,FULL,,,
home_win,random_forest,raw_standalone,0,1500.0,300.0,500,0.604,0.666012891296408,0.236822468686183,0.03583835017579081,0.12661235048358355,0.6217908172367375,FULL,,,
home_win,gradient_boosting,raw_standalone,0,1500.0,300.0,500,0.554,0.7015415519807298,0.25284612563548714,0.10033635481180705,0.31076891252944006,0.5836130978445969,FULL,,,
home_win,hist_gradient_boosting,raw_standalone,0,1500.0,300.0,500,0.528,0.7093575747938269,0.25605192622987993,0.1353599620305042,0.41907182656632636,0.5769636225044195,FULL,,,
home_win,ensemble,raw,0,1500.0,300.0,500,0.582,0.6663506107614162,0.23764479204775243,0.05453741776852137,0.1550926406833858,0.6135519551079323,FULL,,,
over_2_5,logistic,raw,0,1500.0,300.0,500,0.568,0.6823952721607071,0.24469328527511788,0.0379678759851033,0.19264191643869988,0.5810867059426229,FULL,,,
over_2_5,logistic,platt,0,1500.0,300.0,500,0.564,0.6893145976538817,0.24772911704864328,0.05813727835956948,0.23081135859549673,0.5810867059426229,FULL,,,
over_2_5,logistic,isotonic,0,1500.0,300.0,500,0.57,1.230223963032578,0.26209970063960314,0.09769932906216253,0.7964526751012918,0.5804703509221313,FULL,,,
over_2_5,logistic,raw_standalone,0,1500.0,300.0,500,0.568,0.6823952721607071,0.24469328527511788,0.0379678759851033,0.19264191643869988,0.5810867059426229,FULL,,,
