probability,odds,fair_odds,raw_ev,realistic_ev,uncertainty_adjusted_ev,scientific_status,target,odds_bucket
0.15854770503220061,6.0,6.307249920753521,-0.048713769806796314,-0.048713769806796314,-0.048713769806796314,RESEARCH_ONLY_NON_PIT,home_win,>4.00
0.3065732651396048,3.1,3.2618630314832844,-0.049622878067225096,-0.049622878067225096,-0.049622878067225096,RESEARCH_ONLY_NON_PIT,home_win,3.00–4.00
0.7418011452368558,1.28,1.3480701754385964,-0.050494534096824556,-0.050494534096824556,-0.050494534096824556,RESEARCH_ONLY_NON_PIT,home_win,<1.50
0.44155844155844154,2.15,2.264705882352941,-0.05064935064935083,-0.05064935064935083,-0.05064935064935083,RESEARCH_ONLY_NON_PIT,home_win,2.00–2.49
0.2497331910352187,3.8,4.004273504273505,-0.05101387406616886,-0.05101387406616886,-0.05101387406616886,RESEARCH_ONLY_NON_PIT,home_win,3.00–4.00
0.517875474669351,1.83,1.9309661277906083,-0.052287881355087606,-0.052287881355087606,-0.052287881355087606,RESEARCH_ONLY_NON_PIT,home_win,1.66–1.99
0.2924237298254692,3.25,3.41969511365183,-0.049622878067224985,-0.049622878067224985,-0.049622878067224985,RESEARCH_ONLY_NON_PIT,home_win,3.00–4.00
0.1901023416131962,5.0,5.26032447319725,-0.049488291934019046,-0.049488291934019046,-0.049488291934019046,RESEARCH_ONLY_NON_PIT,home_win,>4.00
0.6297577854671281,1.5,1.5879120879120876,-0.05536332179930781,-0.05536332179930781,-0.05536332179930781,RESEARCH_ONLY_NON_PIT,home_win,1.50–1.65
0.5907300817933958,1.61,1.6928205128205132,-0.0489245683126327,-0.0489245683126327,-0.0489245683126327,RESEARCH_ONLY_NON_PIT,home_win,1.50–1.65
0.7282229965156793,1.3,1.3732057416267944,-0.05331010452961682,-0.05331010452961682,-0.05331010452961682,RESEARCH_ONLY_NON_PIT,home_win,<1.50
0.6179775280898876,1.53,1.6181818181818184,-0.05449438202247198,-0.05449438202247198,-0.05449438202247198,RESEARCH_ONLY_NON_PIT,home_win,1.50–1.65
0.31496919173613624,3.0,3.174913693901036,-0.055092424791591266,-0.055092424791591266,-0.055092424791591266,RESEARCH_ONLY_NON_PIT,home_win,3.00–4.00
