target,fold,model_probability,market_probability,divergence,abs_divergence,outcome,odds,market_bucket,scientific_status
home_win,0,0.5747443457700904,0.5738880918220947,0.000856253947995711,0.000856253947995711,0,1.65,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5201522489561408,0.4903728275762602,0.029779421379880544,0.029779421379880544,0,1.91,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.6073672304529862,0.5078597339782346,0.09950749647475166,0.09950749647475166,0,1.85,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.3896732969454377,0.3014616321559074,0.0882116647895303,0.0882116647895303,1,3.1,3.00–4.00,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.4445143039619723,0.3884093711467324,0.05610493281523987,0.05610493281523987,0,2.4,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.4480914286172255,0.4247787610619469,0.02331266755527861,0.02331266755527861,1,2.2,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5163540026334803,0.4603234298608499,0.056030572772630405,0.056030572772630405,1,2.05,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5398480379581249,0.4359404280501035,0.10390760990802134,0.10390760990802134,1,2.15,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.49359024086165637,0.4146341463414634,0.07895609452019298,0.07895609452019298,0,2.25,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.814084726623945,0.763271162123386,0.05081356450055907,0.05081356450055907,1,1.25,<1.50,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.2586210225707007,0.2691120392228073,-0.01049101665210661,0.01049101665210661,1,3.5,3.00–4.00,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.33825440018502295,0.35437430786268,-0.01611990767765703,0.01611990767765703,1,2.63,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.44604695598411404,0.4666666666666667,-0.02061971068255264,0.02061971068255264,1,2.0,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.6439433451559637,0.49982680983720124,0.1441165353187625,0.1441165353187625,1,1.9,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.48729124024579223,0.42767047694126925,0.05962076330452298,0.05962076330452298,0,2.2,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.6290871270780168,0.5590930268675262,0.06999410021049068,0.06999410021049068,1,1.67,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.35866368423013245,0.3538083538083538,0.004855330421778659,0.004855330421778659,1,2.63,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.2924346108425309,0.2990936555891239,-0.006659044746592957,0.006659044746592957,0,3.2,3.00–4.00,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.35012029616959917,0.4310344827586207,-0.08091418658902155,0.08091418658902155,0,2.2,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.6342883394893077,0.6424335602899187,-0.008145220800610975,0.008145220800610975,0,1.48,<1.50,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.6156342921355173,0.5360824742268041,0.07955181790871324,0.07955181790871324,0,1.75,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.2619282598700862,0.3286034353995519,-0.06667517552946567,0.06667517552946567,1,2.9,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.7475205043627101,0.629537369997383,0.11798313436532715,0.11798313436532715,1,1.48,<1.50,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.49787313682964407,0.47646057855927393,0.02141255827037014,0.02141255827037014,0,1.95,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.6266581737926731,0.5924105170128148,0.034247656779858304,0.034247656779858304,0,1.57,1.50–1.65,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.4212980951238291,0.3958868894601542,0.025411205663674885,0.025411205663674885,0,2.35,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5364954197029971,0.4533333333333333,0.08316208636966377,0.08316208636966377,1,2.05,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5106726659478532,0.4243156199677939,0.08635704598005933,0.08635704598005933,0,2.2,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.4234231781947855,0.36363636363636365,0.05978681455842183,0.05978681455842183,0,2.55,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.625861803905165,0.5399533013361008,0.08590850256906424,0.08590850256906424,0,1.73,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
