probability,odds,fair_odds,raw_ev,realistic_ev,uncertainty_adjusted_ev,scientific_status,target,odds_bucket
0.6788990825688074,1.4,1.4729729729729728,-0.04954128440366973,-0.04954128440366973,-0.04954128440366973,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.589873417721519,1.62,1.6952789699570814,-0.044405063291139135,-0.044405063291139135,-0.044405063291139135,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.4804177545691906,1.99,2.0815217391304346,-0.04396866840731073,-0.04396866840731073,-0.04396866840731073,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.7039473684210525,1.35,1.4205607476635516,-0.049671052631579005,-0.049671052631579005,-0.049671052631579005,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.5979899497487436,1.6,1.6722689075630255,-0.04321608040201014,-0.04321608040201014,-0.04321608040201014,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.5117493472584856,1.87,1.9540816326530612,-0.04302872062663177,-0.04302872062663177,-0.04302872062663177,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.5979899497487436,1.6,1.6722689075630255,-0.04321608040201014,-0.04321608040201014,-0.04321608040201014,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.48958333333333337,1.96,2.0425531914893615,-0.0404166666666666,-0.0404166666666666,-0.0404166666666666,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.6188118811881189,1.54,1.6159999999999997,-0.04702970297029685,-0.04702970297029685,-0.04702970297029685,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.625615763546798,1.52,1.5984251968503937,-0.049064039408866944,-0.049064039408866944,-0.049064039408866944,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.5390625,1.77,1.855072463768116,-0.04585937499999998,-0.04585937499999998,-0.04585937499999998,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.61,1.56,1.639344262295082,-0.0484,-0.0484,-0.0484,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.6416464891041161,1.48,1.558490566037736,-0.050363196125908116,-0.050363196125908116,-0.050363196125908116,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.4804177545691906,1.99,2.0815217391304346,-0.04396866840731073,-0.04396866840731073,-0.04396866840731073,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.5221932114882506,1.83,1.9150000000000003,-0.04438642297650136,-0.04438642297650136,-0.04438642297650136,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.5994962216624685,1.59,1.6680672268907564,-0.04680100755667499,-0.04680100755667499,-0.04680100755667499,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.7367346938775509,1.29,1.357340720221607,-0.04961224489795937,-0.04961224489795937,-0.04961224489795937,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.5416666666666667,1.76,1.8461538461538458,-0.04666666666666652,-0.04666666666666652,-0.04666666666666652,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.7226890756302521,1.32,1.3837209302325582,-0.04605042016806721,-0.04605042016806721,-0.04605042016806721,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.5350649350649351,1.79,1.8689320388349513,-0.04223376623376607,-0.04223376623376607,-0.04223376623376607,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.7529411764705882,1.26,1.328125,-0.05129411764705882,-0.05129411764705882,-0.05129411764705882,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
