pattern_id,description,sample_size_segment,sample_size_control,effect_size,p_value,status,fdr_adjusted_p
KNOCKOUT_HOME_WIN,two_leg_candidate vs home_win,223,945,-0.06756352765321377,0.08044780210745608,EXPLORATORY,0.10726373614327478
rest_advantage_HOME_WIN,rest_advantage,461,546,0.0,0.20336087127601943,EXPLORATORY,0.20336087127601943
home_form5_HOME_WIN,home_form5,476,561,0.10000000000000009,0.000831459806388302,EXPLORATORY,0.001662919612776604
away_form5_HOME_WIN,away_form5,492,595,-0.20000000000000018,5.564874546484633e-06,EXPLORATORY,2.2259498185938532e-05
