competition,season,gender,matches,dates_min,dates_max,events,shots,SOT,xG,corners,cards,lineups,players,injuries,suspensions,odds,timestamped_odds,PIT,LIVE,settlements
Copa Libertadores,2020,MEN,125,2020-01-05,2020-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Libertadores,2021,MEN,124,2021-04-20,2021-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Libertadores,2022,MEN,124,2022-04-05,2022-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2020,MEN,105,2020-01-12,2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2021,MEN,157,2021-03-16,2021-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2022,MEN,157,2022-03-08,2022-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2023,MEN,157,2023-03-07,2023-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2024,MEN,157,2024-03-05,2024-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2025,MEN,64,2025-03-04,2025-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
