feature,importance_mean,importance_std
away_cards_for_5,0.003014624039059233,0.004134792277788785
home_sot_for_5,0.0019215703890685942,0.0008156576221210618
away_goals_against_5,0.0010259797938023563,0.0009004077413020755
home_corners_for_5,0.0008609366526701523,0.0004073105059891824
strength_defense_diff,0.0005639392992274229,0.0021565903814388565
home_cards_for_5,0.0003711746597161003,0.00013143712402929102
away_corners_for_5,0.00018452501695170875,0.0004028067549010418
rest_diff,6.455447120389257e-05,0.00202996300621004
home_goals_against_5,-1.5534119771043463e-05,0.0010322171356860887
away_sot_for_5,-1.7188734445294785e-05,0.00024317489569869382
away_goals_for_5,-0.00028702162380688233,0.0006430499379177874
away_shots_for_5,-0.002346086529809677,0.006032832626226381
strength_attack_diff,-0.004532333201390249,0.0014571633696509408
home_goals_for_5,-0.006923330179880472,0.001135096292547941
home_shots_for_5,-0.010025794746666272,0.0033140476662135384
