pattern_id,description,sample_size_segment,sample_size_control,effect_size,p_value,status,fdr_adjusted_p
KNOCKOUT_HOME_WIN,two_leg_candidate vs home_win,224,946,-0.06438764723648444,0.09574352939279689,EXPLORATORY,0.12765803919039584
rest_advantage_HOME_WIN,rest_advantage,462,547,0.0,0.2353525938783606,EXPLORATORY,0.2353525938783606
home_form5_HOME_WIN,home_form5,477,562,0.10000000000000009,0.0008765831303224583,EXPLORATORY,0.0017531662606449167
away_form5_HOME_WIN,away_form5,493,596,-0.20000000000000018,5.720437984987495e-06,EXPLORATORY,2.288175193994998e-05
