event_id,selection,entry_odds,reference_odds,closing_odds,result,profit_units,clv_proxy
d7ee4e4c8fcd31e73d74,away,3.8,3.71,4.75,away,2.8,-0.20000000000000007
ef0ea214ddd736e44a05,away,4.0,3.83,3.8,home,-1.0,0.05263157894736836
67b6afc20ff4ed337ef4,away,8.0,7.58,9.5,home,-1.0,-0.1578947368421053
66e04e8ee48af26951b0,draw,4.2,4.07,3.9,home,-1.0,0.0769230769230771
3f048c103733ad70d7d0,home,6.0,5.83,6.25,away,-1.0,-0.040000000000000036
eadc6ebedb0003a2e6bd,away,2.88,2.82,2.88,away,1.88,0.0
574a38d0a8dc85618b1f,home,4.1,3.87,3.3,away,-1.0,0.24242424242424243
c8e684e1c2211a9cdda1,home,6.0,5.52,5.25,away,-1.0,0.1428571428571428
ca328275c6cef0cf57f1,away,4.2,4.11,3.75,home,-1.0,0.1200000000000001
afec4785497c78c49af7,away,6.0,5.83,6.25,home,-1.0,-0.040000000000000036
d6ffa33eaaa34c1c72ca,draw,3.6,3.48,3.4,draw,2.6,0.05882352941176472
c95088b3c5d3cd80ee50,home,4.0,3.88,3.8,home,3.0,0.05263157894736836
e647800fcd1c0933022b,draw,4.75,4.55,4.1,home,-1.0,0.1585365853658538
27ead8b4594745e97a97,draw,8.0,7.67,7.0,home,-1.0,0.1428571428571428
62c4847e6e816ac0fa41,home,5.75,5.41,5.0,draw,-1.0,0.1499999999999999
a1abc4ea709d575530d8,away,3.9,3.81,3.9,draw,-1.0,0.0
604766937ff77421e7e1,away,3.6,3.48,4.1,home,-1.0,-0.12195121951219501
f37c30b427420b7445c9,home,4.5,4.21,4.5,away,-1.0,0.0
92729145b0f7c6ad3431,draw,4.33,4.2,4.1,home,-1.0,0.056097560975609806
81af9d3835f009c3eab4,draw,8.0,7.61,7.5,home,-1.0,0.06666666666666665
967103c54c08f29090a5,draw,4.5,4.31,4.2,home,-1.0,0.0714285714285714
56fe2c49fe2e3da5da55,home,5.75,5.5,5.5,draw,-1.0,0.045454545454545414
2fe395c7be373b53424b,draw,3.6,3.46,3.5,home,-1.0,0.028571428571428692
89819b06d83786b7c9e1,home,4.5,4.24,4.2,home,3.5,0.0714285714285714
507f7dae270d4506d5da,draw,5.5,5.32,5.5,home,-1.0,0.0
7381f1147482a5ff175c,home,3.4,3.33,3.4,draw,-1.0,0.0
80f093ba97c31af9ef16,home,6.0,5.65,6.25,away,-1.0,-0.040000000000000036
6948e912bcbdbfb75a85,draw,4.33,4.16,4.33,draw,3.33,0.0
64bb475d86a43114dae6,draw,7.0,6.57,7.5,draw,6.0,-0.06666666666666665
651d91097fbc72782ad7,away,5.0,4.75,5.0,home,-1.0,0.0
894007505a9225632889,draw,3.75,3.61,3.5,home,-1.0,0.0714285714285714
2c40fd7fe999fc400388,draw,3.7,3.52,3.6,away,-1.0,0.0277777777777779
7282568099179f95feff,home,8.0,7.83,9.5,away,-1.0,-0.1578947368421053
f226f526ed81cc2244ac,away,11.0,9.98,13.0,home,-1.0,-0.15384615384615385
a5b1c39bd04a433a1e6f,away,4.5,4.32,4.0,home,-1.0,0.125
ee45c5cfda387a044766,draw,3.7,3.6,4.0,away,-1.0,-0.07499999999999996
dfcd16b5bb8624a7cbdc,away,4.5,4.32,5.0,away,3.5,-0.09999999999999998
3d5180a78da36429cf06,away,4.0,3.83,3.5,away,3.0,0.1428571428571428
19338e30ef25af03bb73,draw,5.0,4.9,4.5,home,-1.0,0.11111111111111116
7e45abaf189a074ac91d,draw,3.7,3.59,3.7,home,-1.0,0.0
