layer,before,new,after,coverage_pct
MATCHES,8523,0,8523,100.0
SHOTS,5160,0,5160,60.542
SOT,5160,0,5160,60.542
XG,0,0,0,0.0
EVENTS,0,0,0,0.0
PLAYERS,0,0,0,0.0
PLAYER_MATCH,0,0,0,0.0
LINEUPS,0,0,0,0.0
INJURIES,0,0,0,0.0
SUSPENSIONS,0,0,0,0.0
ODDS,4760,0,4760,55.849
EXACT_PIT,0,0,0,0.0
