configuration,target,ev_bucket,n,win_rate,mean_ev,median_ev,mean_odds,theoretical_status
BASELINE,home_win,EV < 0,252,0.503968253968254,-0.11726594131006715,-0.10250902737090406,1.884126984126984,COUNTERFACTUAL_NON_PIT
BASELINE,home_win,0–2%,20,0.5,0.00981582924001414,0.00928156310980155,2.21,COUNTERFACTUAL_NON_PIT
BASELINE,home_win,2–5%,24,0.5,0.034520139549387076,0.03468780493349599,2.2108333333333334,COUNTERFACTUAL_NON_PIT
BASELINE,home_win,5–10%,44,0.4772727272727273,0.07394878836817374,0.07525520306555777,2.8000000000000003,COUNTERFACTUAL_NON_PIT
BASELINE,home_win,10–15%,32,0.46875,0.12644097829316886,0.1300637070400119,2.5540624999999997,COUNTERFACTUAL_NON_PIT
BASELINE,home_win,15–20%,32,0.25,0.17893982346886395,0.18089993011412642,2.9821875,COUNTERFACTUAL_NON_PIT
BASELINE,home_win,>20%,96,0.2916666666666667,0.42347243352244596,0.33354645034117425,3.9489583333333336,COUNTERFACTUAL_NON_PIT
BASELINE,over_2_5,EV < 0,143,0.5804195804195804,-0.0858977828139882,-0.07268798065671644,1.6408391608391608,COUNTERFACTUAL_NON_PIT
BASELINE,over_2_5,0–2%,27,0.5925925925925926,0.011105453334128872,0.013837488387171248,1.8355555555555556,COUNTERFACTUAL_NON_PIT
BASELINE,over_2_5,2–5%,28,0.32142857142857145,0.035936987816449224,0.03559591868158374,1.91,COUNTERFACTUAL_NON_PIT
BASELINE,over_2_5,5–10%,76,0.5263157894736842,0.07579815362268301,0.07570068785971118,1.9717105263157897,COUNTERFACTUAL_NON_PIT
BASELINE,over_2_5,10–15%,77,0.4025974025974026,0.12493185626575737,0.1239356431976133,2.068571428571428,COUNTERFACTUAL_NON_PIT
BASELINE,over_2_5,15–20%,73,0.4520547945205479,0.17399785278979837,0.1766248364476326,2.1306849315068495,COUNTERFACTUAL_NON_PIT
BASELINE,over_2_5,>20%,76,0.42105263157894735,0.3043472405023149,0.27184019367276147,2.3421052631578947,COUNTERFACTUAL_NON_PIT
FULL,home_win,EV < 0,315,0.45396825396825397,-0.08969703136202675,-0.0761462900534583,2.4073015873015873,COUNTERFACTUAL_NON_PIT
FULL,home_win,0–2%,38,0.5263157894736842,0.009783898821992808,0.010102852972935561,2.2663157894736847,COUNTERFACTUAL_NON_PIT
FULL,home_win,2–5%,56,0.42857142857142855,0.03323674048416698,0.030880698529460293,2.3026785714285714,COUNTERFACTUAL_NON_PIT
FULL,home_win,5–10%,41,0.4634146341463415,0.07024550620085473,0.0687951842880623,2.664390243902439,COUNTERFACTUAL_NON_PIT
FULL,home_win,10–15%,29,0.3448275862068966,0.12143329704034606,0.12026407752345825,2.7079310344827587,COUNTERFACTUAL_NON_PIT
FULL,home_win,15–20%,8,0.25,0.17595412337254704,0.17711210474512928,3.46875,COUNTERFACTUAL_NON_PIT
