configuration,target,n,accuracy,log_loss,brier,ece,mce,roc_auc,status
BASELINE,home_win,500,0.598,0.6517676020351473,0.23056370083865996,0.02410267662081869,0.1673376235690846,0.6389497072609027,RESEARCH_OOS_NON_PIT
BASELINE,over_2_5,500,0.492,0.6977812443657204,0.25233070725443785,0.06530116645337596,0.06939038182568946,0.5373174948770492,RESEARCH_OOS_NON_PIT
FULL,home_win,500,0.608,0.6484103945575382,0.2290623484952929,0.03583513099572529,0.07347179703300244,0.6513890916167956,RESEARCH_OOS_NON_PIT
FULL,over_2_5,500,0.568,0.6823952721607071,0.24469328527511788,0.0379678759851033,0.19264191643869988,0.5810867059426229,RESEARCH_OOS_NON_PIT
MARKET,home_win,500,0.606,0.6467870052732695,0.2285096395093849,0.04513802726018229,0.15800567782877195,0.6511620363612773,RESEARCH_OOS_NON_PIT
MARKET,over_2_5,500,0.56,0.6804230290309322,0.24387160651005738,0.02600744517012716,0.2617316598054627,0.5824314805327869,RESEARCH_OOS_NON_PIT
MARKET_ONLY,home_win,500,0.61,0.6461616551021014,0.22840756633208528,0.029541116570195338,0.159316581633837,0.648129226876855,RESEARCH_OOS_NON_PIT
MARKET_ONLY,over_2_5,500,0.584,0.6796662104101533,0.24344682202405843,0.02621761118955096,0.2982456140350877,0.5852731173155739,RESEARCH_OOS_NON_PIT
