configuration,selection,stake_strategy,bets,units,roi,max_drawdown_u,profit_factor,win_rate,avg_odds,longest_losing_streak,volatility,scientific_status
MARKET,STRICT,flat_0.50,61,-6.395,-0.20967213114754096,8.67,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,0.769227408515147,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,flat_1.0,61,-12.79,-0.20967213114754096,17.34,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,1.538454817030294,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,flat_1.5,61,-19.185000000000002,-0.20967213114754102,26.009999999999994,0.7219565217391303,0.2459016393442623,4.173278688524591,9.0,2.3076822255454412,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,dynamic,61,-3.1975,-0.20967213114754096,4.335,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,0.3846137042575735,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,flat_0.25,27,-1.0,-0.14814814814814814,2.1375,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,0.45378326167400507,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,flat_0.50,27,-2.0,-0.14814814814814814,4.275,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,0.9075665233480101,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,flat_1.0,27,-4.0,-0.14814814814814814,8.55,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,1.8151330466960203,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,flat_1.5,27,-6.0,-0.14814814814814814,12.825,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,2.72269957004403,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,dynamic,27,-1.0,-0.14814814814814814,2.1375,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,0.45378326167400507,COUNTERFACTUAL_NON_PIT
FULL,ALL,flat_0.25,500,-5.737500000000001,-0.0459,12.1575,0.9177419354838708,0.442,2.50304,9.0,0.296964075604102,COUNTERFACTUAL_NON_PIT
FULL,ALL,flat_0.50,500,-11.475000000000001,-0.0459,24.315,0.9177419354838708,0.442,2.50304,9.0,0.593928151208204,COUNTERFACTUAL_NON_PIT
FULL,ALL,flat_1.0,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
FULL,ALL,flat_1.5,500,-34.42500000000001,-0.04590000000000002,72.94500000000002,0.9177419354838708,0.442,2.50304,9.0,1.7817844536246117,COUNTERFACTUAL_NON_PIT
FULL,ALL,dynamic,185,-5.4075,-0.11691891891891891,6.235,0.7978504672897198,0.42162162162162165,2.6660540540540545,8.0,0.2776777631427268,COUNTERFACTUAL_NON_PIT
FULL,STRICT,flat_0.25,91,-3.9200000000000004,-0.17230769230769233,4.965,0.7249122807017544,0.37362637362637363,3.056593406593407,8.0,0.28405791587746604,COUNTERFACTUAL_NON_PIT
FULL,STRICT,flat_0.50,91,-7.840000000000001,-0.17230769230769233,9.93,0.7249122807017544,0.37362637362637363,3.056593406593407,8.0,0.5681158317549321,COUNTERFACTUAL_NON_PIT
FULL,STRICT,flat_1.0,91,-15.680000000000001,-0.17230769230769233,19.86,0.7249122807017544,0.37362637362637363,3.056593406593407,8.0,1.1362316635098642,COUNTERFACTUAL_NON_PIT
FULL,STRICT,flat_1.5,91,-23.519999999999996,-0.17230769230769227,29.79,0.7249122807017544,0.37362637362637363,3.056593406593407,8.0,1.7043474952647963,COUNTERFACTUAL_NON_PIT
FULL,STRICT,dynamic,91,-3.9200000000000004,-0.17230769230769233,4.965,0.7249122807017544,0.37362637362637363,3.056593406593407,8.0,0.28405791587746604,COUNTERFACTUAL_NON_PIT
FULL,VERY_STRICT,flat_0.25,50,-4.4825,-0.3586,4.807500000000001,0.4877142857142856,0.3,3.378199999999999,8.0,0.25564644451241003,COUNTERFACTUAL_NON_PIT
FULL,VERY_STRICT,flat_0.50,50,-8.965,-0.3586,9.615000000000002,0.4877142857142856,0.3,3.378199999999999,8.0,0.5112928890248201,COUNTERFACTUAL_NON_PIT
FULL,VERY_STRICT,flat_1.0,50,-17.93,-0.3586,19.230000000000004,0.4877142857142856,0.3,3.378199999999999,8.0,1.0225857780496401,COUNTERFACTUAL_NON_PIT
FULL,VERY_STRICT,flat_1.5,50,-26.895,-0.3586,28.845,0.4877142857142857,0.3,3.378199999999999,8.0,1.53387866707446,COUNTERFACTUAL_NON_PIT
FULL,VERY_STRICT,dynamic,50,-4.4825,-0.3586,4.807500000000001,0.4877142857142856,0.3,3.378199999999999,8.0,0.25564644451241003,COUNTERFACTUAL_NON_PIT
