target,fold,match_id,kickoff_timestamp,configuration,probability,market_probability,odds,outcome,pit_status,data_quality,uncertainty,decision_status,research_holdout_locked
home_win,0,96b7fda81792657d9b2b,2024-12-22 15:00:00+00:00,MARKET_ONLY,0.4471544715447154,0.4471544715447154,2.1,1,NON_PIT,1.0,0.8943089430894308,COUNTERFACTUAL_NON_PIT,False
home_win,0,4802d4c58253e396632b,2024-12-22 16:30:00+00:00,MARKET_ONLY,0.21158844213423023,0.21158844213423023,4.5,0,NON_PIT,1.0,0.42317688426846045,COUNTERFACTUAL_NON_PIT,False
home_win,0,1aa9e563e44954c32617,2024-12-23 20:00:00+00:00,MARKET_ONLY,0.12462908011869436,0.12462908011869436,7.5,0,NON_PIT,1.0,0.24925816023738867,COUNTERFACTUAL_NON_PIT,False
home_win,0,3bd76e3db01bf4dd4d62,2024-12-26 12:30:00+00:00,MARKET_ONLY,0.7046463956269218,0.7046463956269218,1.33,0,NON_PIT,1.0,0.5907072087461565,COUNTERFACTUAL_NON_PIT,False
home_win,0,22ce4512ae0f893d8036,2024-12-26 13:00:00+00:00,MARKET_ONLY,0.6188679245283019,0.6188679245283019,1.5,1,NON_PIT,1.0,0.7622641509433963,COUNTERFACTUAL_NON_PIT,False
home_win,0,0abf43c678c6bb966c5f,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5,0.5,1.9,0,NON_PIT,1.0,1.0,COUNTERFACTUAL_NON_PIT,False
home_win,0,0e1964de55499721c16c,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5220012055455093,0.5220012055455093,1.8,1,NON_PIT,1.0,0.9559975889089813,COUNTERFACTUAL_NON_PIT,False
home_win,0,18faf5854e69fcb07373,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.49702656040180676,0.49702656040180676,1.91,1,NON_PIT,1.0,0.9940531208036135,COUNTERFACTUAL_NON_PIT,False
home_win,0,2ee5e564fcc8068970ab,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.44651162790697674,0.44651162790697674,2.1,1,NON_PIT,1.0,0.8930232558139535,COUNTERFACTUAL_NON_PIT,False
home_win,0,31332262859bce8ad338,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.6417473541995046,0.6417473541995046,1.48,0,NON_PIT,1.0,0.7165052916009909,COUNTERFACTUAL_NON_PIT,False
home_win,0,36f04d03b9eb3a941272,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.41929720071471116,0.41929720071471116,2.25,1,NON_PIT,1.0,0.8385944014294223,COUNTERFACTUAL_NON_PIT,False
home_win,0,3934a1b2250b0a7dfd44,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.48744623754732935,0.48744623754732935,1.91,1,NON_PIT,1.0,0.9748924750946587,COUNTERFACTUAL_NON_PIT,False
