country,competition,division,season,matches
England,Championship,2,2024-25,552
England,Championship,2,2025-26,557
England,League One,3,2024-25,552
England,League Two,4,2024-25,552
England,Premier League,1,2023-24,30
England,Premier League,1,2024-25,380
England,Premier League,1,2025-26,385
Germany,Bundesliga,1,2025-26,306
Italy,Serie A,1,2025-26,380
