train_N,test_N,test_start,test_end,log_loss,brier,roc_auc
933,186,2025-01-18 15:00:00+00:00,2025-02-11 19:45:00+00:00,0.6813128777180202,0.24398546665534046,0.5917798676419366
1120,186,2025-02-11 19:45:00+00:00,2025-03-04 19:45:00+00:00,0.6443393674636476,0.22703148952366237,0.651733587513404
1306,186,2025-03-04 19:45:00+00:00,2025-03-29 15:00:00+00:00,0.6781588377615554,0.24293401245752308,0.5717787114845938
1493,186,2025-03-29 15:00:00+00:00,2025-04-19 15:00:00+00:00,0.684316111389984,0.2457204330281219,0.5416666666666666
