hypothesis,n_segment,n_control,effect_size,p_value,status,q_value,promotion_status
FINAL_STAGE,102,4752,-0.0002351950881362419,1.0,EXPLORATORY,1.0,INCONCLUSIVE
HIGH_STAGE,37,4817,0.0008360031195821516,1.0,EXPLORATORY,1.0,INCONCLUSIVE
H2H_AVAILABLE,2540,2314,-0.032432165728635665,0.024478869443574466,EXPLORATORY,0.04895773888714893,PROMISING
home_form5 -> HOME_WIN,2020,2658,0.19999999999999996,2.3706956242373197e-19,EXPLORATORY,1.422417374542392e-18,PROMISING
away_form5 -> HOME_WIN,2000,2662,0.0,6.309177487659127e-13,EXPLORATORY,1.892753246297738e-12,PROMISING
rest_advantage -> HOME_WIN,1527,2077,0.0,0.47559230891962756,EXPLORATORY,0.7133884633794414,INCONCLUSIVE
