match_id,country,competition,division,season,round,kickoff_timestamp,home_team,away_team,home_goals,away_goals,referee,home_cards,away_cards,total_cards,home_corners,away_corners,total_corners,home_xg,away_xg,odds_1,odds_x,odds_2,over_2_5,under_2_5,btts_yes,btts_no,asian_handicap,bookmaker,odds_timestamp,feature_timestamp,decision_timestamp,source,source_url,provenance_file,pit_status,data_type,gender,canonical_match_id,home_form3,home_form5,home_form10,home_rest_days,away_form3,away_form5,away_form10,away_rest_days,rest_advantage,h2h_n3,h2h_home_win_rate3,h2h_draw_rate3,h2h_goals3,h2h_btts3,h2h_n5,h2h_home_win_rate5,h2h_draw_rate5,h2h_goals5,h2h_btts5,h2h_n10,h2h_home_win_rate10,h2h_draw_rate10,h2h_goals10,h2h_btts10,importance_state,importance_score,importance_evidence,motivation_state,must_win,already_qualified,already_eliminated,home_win,total_goals,btts,derby_status,rivalry_status,travel_status,player_data_status,injury_data_status,lineup_status,live_status,market_pit_status
2324-0012,England,Premier League,1,2023-24,,2023-08-19 00:00:00,Fulham,Brentford,0.0,3.0,D Bond,2.0,2.0,4.0,5.0,5.0,10.0,,,,,,,,,,,,,2023-08-19T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0012,3.0,3.0,3.0,7.0,1.0,1.0,1.0,6.0,1.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,3.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0013,England,Premier League,1,2023-24,,2023-08-19 00:00:00,Liverpool,Bournemouth,3.0,1.0,T Bramall,1.0,3.0,4.0,10.0,2.0,12.0,,,,,,,,,,,,,2023-08-19T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0013,1.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,-1.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,4.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0014,England,Premier League,1,2023-24,,2023-08-19 00:00:00,Wolves,Brighton,1.0,4.0,A Madley,3.0,6.0,9.0,5.0,3.0,8.0,,,,,,,,,,,,,2023-08-19T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0014,0.0,0.0,0.0,5.0,3.0,3.0,3.0,7.0,-2.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,5.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0015,England,Premier League,1,2023-24,,2023-08-19 00:00:00,Tottenham,Man United,2.0,0.0,M Oliver,1.0,3.0,4.0,5.0,6.0,11.0,,,,,,,,,,,,,2023-08-19T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0015,1.0,1.0,1.0,6.0,3.0,3.0,3.0,5.0,1.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,2.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0016,England,Premier League,1,2023-24,,2023-08-19 00:00:00,Man City,Newcastle,1.0,0.0,R Jones,1.0,5.0,6.0,3.0,0.0,3.0,,,,,,,,,,,,,2023-08-19T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0016,3.0,3.0,3.0,8.0,3.0,3.0,3.0,7.0,1.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,1.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0017,England,Premier League,1,2023-24,,2023-08-20 00:00:00,Aston Villa,Everton,4.0,0.0,A Taylor,3.0,4.0,7.0,7.0,6.0,13.0,,,,,,,,,,,,,2023-08-20T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0017,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,4.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0018,England,Premier League,1,2023-24,,2023-08-20 00:00:00,West Ham,Chelsea,3.0,1.0,J Brooks,2.0,3.0,5.0,3.0,9.0,12.0,,,,,,,,,,,,,2023-08-20T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0018,1.0,1.0,1.0,8.0,1.0,1.0,1.0,7.0,1.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,4.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0019,England,Premier League,1,2023-24,,2023-08-21 00:00:00,Crystal Palace,Arsenal,0.0,1.0,D Coote,2.0,1.0,3.0,1.0,8.0,9.0,,,,,,,,,,,,,2023-08-21T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0019,3.0,3.0,3.0,9.0,3.0,3.0,3.0,9.0,0.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,1.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0020,England,Premier League,1,2023-24,,2023-08-25 00:00:00,Chelsea,Luton,3.0,0.0,R Jones,2.0,3.0,5.0,6.0,4.0,10.0,,,,,,,,,,,,,2023-08-25T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0020,0.5,0.5,0.5,5.0,0.0,0.0,0.0,13.0,-8.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,3.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0021,England,Premier League,1,2023-24,,2023-08-26 00:00:00,Bournemouth,Tottenham,0.0,2.0,T Robinson,1.0,3.0,4.0,6.0,2.0,8.0,,,,,,,,,,,,,2023-08-26T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0021,0.5,0.5,0.5,7.0,2.0,2.0,2.0,7.0,0.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,2.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
