team_id,target_competition,target_n,other_comp_n,target_mean_gd,other_mean_gd,transfer_gap,transferability_class
augsburg,Bundesliga,68,68,-0.6490159817923431,-0.6284529732290925,0.02056300856325055,HIGH_STABILITY
augsburg,Bundesliga 2,68,68,-0.6284529732290925,-0.6490159817923431,0.02056300856325055,HIGH_STABILITY
bayern munich,Bundesliga,68,68,1.7156746236422065,1.7310649135276002,0.015390289885393704,HIGH_STABILITY
bayern munich,Bundesliga 2,68,68,1.7310649135276002,1.7156746236422065,0.015390289885393704,HIGH_STABILITY
bielefeld,Bundesliga,34,34,-0.6037777869957801,-0.5962121212121211,0.007565665783659026,HIGH_STABILITY
bielefeld,Bundesliga 2,34,34,-0.5962121212121211,-0.6037777869957801,0.007565665783659026,HIGH_STABILITY
bochum,Bundesliga,68,68,-0.7333748335478439,-0.7371535181236674,0.003778684575823421,HIGH_STABILITY
bochum,Bundesliga 2,68,68,-0.7371535181236674,-0.7333748335478439,0.003778684575823421,HIGH_STABILITY
burnley,Championship,46,152,0.6152173913043477,-0.5744018837205641,1.1896192750249117,LOW_STABILITY
burnley,Premier League,152,46,-0.5744018837205641,0.6152173913043477,1.1896192750249117,LOW_STABILITY
dortmund,Bundesliga,68,68,1.0113821062282182,0.9940535418147358,0.017328564413482406,HIGH_STABILITY
dortmund,Bundesliga 2,68,68,0.9940535418147358,1.0113821062282182,0.017328564413482406,HIGH_STABILITY
ein frankfurt,Bundesliga,68,68,-0.06520760017618514,-0.04427268419805734,0.0209349159781278,HIGH_STABILITY
ein frankfurt,Bundesliga 2,68,68,-0.04427268419805734,-0.06520760017618514,0.0209349159781278,HIGH_STABILITY
fc koln,Bundesliga,68,68,-0.00569302255242886,-0.017383321487799096,0.011690298935370236,HIGH_STABILITY
fc koln,Bundesliga 2,68,68,-0.017383321487799096,-0.00569302255242886,0.011690298935370236,HIGH_STABILITY
freiburg,Bundesliga,68,68,0.29783267153737003,0.29844823501539924,0.000615563478029213,HIGH_STABILITY
freiburg,Bundesliga 2,68,68,0.29844823501539924,0.29783267153737003,0.000615563478029213,HIGH_STABILITY
greuther furth,Bundesliga,34,34,-1.7805294666886362,-1.7623737373737371,0.01815572931489906,HIGH_STABILITY
greuther furth,Bundesliga 2,34,34,-1.7623737373737371,-1.7805294666886362,0.01815572931489906,HIGH_STABILITY
guarani par,Copa Libertadores,8,14,0.9030612244897959,0.2772118020929387,0.6258494223968571,MODERATE_STABILITY
guarani par,Copa Sudamericana,14,8,0.2772118020929387,0.9030612244897959,0.6258494223968571,MODERATE_STABILITY
hertha,Bundesliga,68,68,-0.9674880485365825,-0.9597074153044302,0.00778063323215239,HIGH_STABILITY
hertha,Bundesliga 2,68,68,-0.9597074153044302,-0.9674880485365825,0.00778063323215239,HIGH_STABILITY
hoffenheim,Bundesliga,68,68,-0.06566631606924815,-0.09305851693911397,0.027392200869865824,HIGH_STABILITY
hoffenheim,Bundesliga 2,68,68,-0.09305851693911397,-0.06566631606924815,0.027392200869865824,HIGH_STABILITY
leeds,Championship,46,153,0.6923913043478261,-0.22057658877206296,0.9129678931198891,MODERATE_STABILITY
leeds,Premier League,153,46,-0.22057658877206296,0.6923913043478261,0.9129678931198891,MODERATE_STABILITY
leverkusen,Bundesliga,68,68,0.7250204329857399,0.728589196872779,0.0035687638870390836,HIGH_STABILITY
leverkusen,Bundesliga 2,68,68,0.728589196872779,0.7250204329857399,0.0035687638870390836,HIGH_STABILITY
