match_id,country,competition,season,market,selection_home,selection_draw,selection_away,bookmaker,snapshot_type,odds_timestamp,pit_status,evidence_class,source,source_url,over,under
93a1ff37ba5b5d062687,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.4,3.0
93a1ff37ba5b5d062687,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.44,2.75
93a1ff37ba5b5d062687,England,Premier League,2024-25,1X2,1.35,5.62,8.1,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
93a1ff37ba5b5d062687,England,Premier League,2024-25,1X2,1.39,5.27,7.33,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1d38661d613c434c405f,England,Premier League,2024-25,1X2,2.45,3.5,2.8,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1d38661d613c434c405f,England,Premier League,2024-25,1X2,2.2,3.4,3.25,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1d38661d613c434c405f,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.73,2.1
1d38661d613c434c405f,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.89,2.01
1d38661d613c434c405f,England,Premier League,2024-25,1X2,2.45,3.49,2.89,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1d38661d613c434c405f,England,Premier League,2024-25,1X2,2.25,3.44,3.23,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
b743ee8cd174a0107534,England,Premier League,2024-25,1X2,2.45,3.6,2.75,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
b743ee8cd174a0107534,England,Premier League,2024-25,1X2,2.4,3.5,2.8,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
b743ee8cd174a0107534,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.57,2.38
b743ee8cd174a0107534,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.73,2.1
b743ee8cd174a0107534,England,Premier League,2024-25,1X2,2.44,3.69,2.79,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
b743ee8cd174a0107534,England,Premier League,2024-25,1X2,2.47,3.51,2.83,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
fe2ed5b74f30c0f9c1ce,England,Premier League,2024-25,1X2,2.4,3.4,2.9,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
fe2ed5b74f30c0f9c1ce,England,Premier League,2024-25,1X2,2.88,3.2,2.55,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
fe2ed5b74f30c0f9c1ce,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.8,2.0
fe2ed5b74f30c0f9c1ce,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,2.07,1.83
fe2ed5b74f30c0f9c1ce,England,Premier League,2024-25,1X2,2.46,3.44,2.9,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
fe2ed5b74f30c0f9c1ce,England,Premier League,2024-25,1X2,2.85,3.28,2.62,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
7782c95ca550032c714e,England,Premier League,2024-25,1X2,4.1,3.9,1.8,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
7782c95ca550032c714e,England,Premier League,2024-25,1X2,3.6,3.9,1.95,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
7782c95ca550032c714e,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.5,2.63
7782c95ca550032c714e,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.57,2.38
7782c95ca550032c714e,England,Premier League,2024-25,1X2,4.05,4.0,1.83,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
7782c95ca550032c714e,England,Premier League,2024-25,1X2,3.64,3.83,1.98,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
a026f670968dc2dd70ac,England,Premier League,2024-25,1X2,5.0,4.33,1.62,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
a026f670968dc2dd70ac,England,Premier League,2024-25,1X2,4.5,4.2,1.7,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
a026f670968dc2dd70ac,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.53,2.5
a026f670968dc2dd70ac,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.57,2.38
a026f670968dc2dd70ac,England,Premier League,2024-25,1X2,5.01,4.37,1.63,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
a026f670968dc2dd70ac,England,Premier League,2024-25,1X2,4.57,4.23,1.71,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
5243ef67d0f2869d71f9,England,Premier League,2024-25,1X2,2.5,3.7,2.63,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
5243ef67d0f2869d71f9,England,Premier League,2024-25,1X2,2.3,3.8,2.88,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
5243ef67d0f2869d71f9,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.57,2.38
5243ef67d0f2869d71f9,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.53,2.5
5243ef67d0f2869d71f9,England,Premier League,2024-25,1X2,2.5,3.72,2.69,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
5243ef67d0f2869d71f9,England,Premier League,2024-25,1X2,2.41,3.72,2.81,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ee40fbcd3fc4ddbc3e56,England,Premier League,2024-25,1X2,2.15,3.6,3.2,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ee40fbcd3fc4ddbc3e56,England,Premier League,2024-25,1X2,1.95,3.9,3.7,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ee40fbcd3fc4ddbc3e56,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.73,2.1
ee40fbcd3fc4ddbc3e56,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.62,2.3
ee40fbcd3fc4ddbc3e56,England,Premier League,2024-25,1X2,2.17,3.63,3.25,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ee40fbcd3fc4ddbc3e56,England,Premier League,2024-25,1X2,1.98,3.78,3.72,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
d3bf7493a0408f8d808c,England,Premier League,2024-25,1X2,1.8,3.75,4.2,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
d3bf7493a0408f8d808c,England,Premier League,2024-25,1X2,1.85,3.75,4.1,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
d3bf7493a0408f8d808c,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.89,2.01
d3bf7493a0408f8d808c,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.86,2.04
d3bf7493a0408f8d808c,England,Premier League,2024-25,1X2,1.83,3.73,4.38,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
d3bf7493a0408f8d808c,England,Premier League,2024-25,1X2,1.88,3.71,4.21,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
91b213747c7b981e3d3e,England,Premier League,2024-25,1X2,1.08,12.0,21.0,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
91b213747c7b981e3d3e,England,Premier League,2024-25,1X2,1.1,10.0,23.0,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
91b213747c7b981e3d3e,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.3,3.5
91b213747c7b981e3d3e,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.3,3.5
91b213747c7b981e3d3e,England,Premier League,2024-25,1X2,1.09,12.17,26.97,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
91b213747c7b981e3d3e,England,Premier League,2024-25,1X2,1.09,11.44,27.5,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
c4c0d4399c511dfcb0f0,England,Premier League,2024-25,1X2,2.55,3.3,2.8,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
c4c0d4399c511dfcb0f0,England,Premier League,2024-25,1X2,2.3,3.5,3.0,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
c4c0d4399c511dfcb0f0,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,2.01,1.89
c4c0d4399c511dfcb0f0,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.8,2.0
c4c0d4399c511dfcb0f0,England,Premier League,2024-25,1X2,2.57,3.32,2.84,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
c4c0d4399c511dfcb0f0,England,Premier League,2024-25,1X2,2.36,3.48,3.04,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
3e2a43e2fccea9f42eaa,England,Premier League,2024-25,1X2,1.44,4.75,6.5,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
3e2a43e2fccea9f42eaa,England,Premier League,2024-25,1X2,1.36,5.25,7.5,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
3e2a43e2fccea9f42eaa,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.5,2.63
3e2a43e2fccea9f42eaa,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.4,3.0
3e2a43e2fccea9f42eaa,England,Premier League,2024-25,1X2,1.44,4.95,6.75,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
3e2a43e2fccea9f42eaa,England,Premier League,2024-25,1X2,1.37,5.39,7.91,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
f9e447ea7fea13c2452c,England,Premier League,2024-25,1X2,4.33,3.8,1.75,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
f9e447ea7fea13c2452c,England,Premier League,2024-25,1X2,4.5,4.0,1.73,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
f9e447ea7fea13c2452c,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.73,2.1
f9e447ea7fea13c2452c,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.73,2.1
f9e447ea7fea13c2452c,England,Premier League,2024-25,1X2,4.41,3.92,1.78,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
f9e447ea7fea13c2452c,England,Premier League,2024-25,1X2,4.66,4.02,1.74,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
9974de82fa51c1a858fa,England,Premier League,2024-25,1X2,2.9,3.8,2.2,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
9974de82fa51c1a858fa,England,Premier League,2024-25,1X2,2.55,3.6,2.6,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
9974de82fa51c1a858fa,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.57,2.38
9974de82fa51c1a858fa,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.57,2.38
9974de82fa51c1a858fa,England,Premier League,2024-25,1X2,2.99,3.8,2.25,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
9974de82fa51c1a858fa,England,Premier League,2024-25,1X2,2.57,3.65,2.64,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ccf1f1cc9171dae84267,England,Premier League,2024-25,1X2,4.33,4.0,1.75,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ccf1f1cc9171dae84267,England,Premier League,2024-25,1X2,3.75,3.8,1.9,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ccf1f1cc9171dae84267,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.62,2.3
ccf1f1cc9171dae84267,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.57,2.38
ccf1f1cc9171dae84267,England,Premier League,2024-25,1X2,4.37,4.0,1.77,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
ccf1f1cc9171dae84267,England,Premier League,2024-25,1X2,3.89,3.89,1.91,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
